distribution,scipy_distribution,parameters,ks,ks_scipy,bhattacharyya,bhattacharyya_coefficient,h_integral,f_integral,candidate,rank_ks,rank_bhattacharyya,rank_total,selection
Pearson3,pearson3,"shape_1=1.11436, loc=16103.6, scale=8510.84",0.020919960693375428,0.020919960693375428,0.006210707775770759,0.9938085388041924,1.0000000000000002,0.9996868599862921,True,1.0,2.0,3.0,BEST
Beta,beta,"shape_1=2.79724, shape_2=34.8738, loc=1228.75, scale=200320",0.02279434014598164,0.02279434014598164,0.006051316939575805,0.9939669554029518,1.0000000000000002,0.999855556022127,False,4.0,1.0,5.0,REJECTED
Gamma,gamma,"shape_1=3.22114, loc=828.683, scale=4742.07",0.02091997093282394,0.02091997093282394,0.006210708412561978,0.9938085381713438,1.0000000000000002,0.9996868598174472,True,2.0,3.0,5.0,CANDIDATE
Lognormal,lognorm,"shape_1=0.408496, loc=-4211.07, scale=18704.6",0.021155721519929394,0.021155721519929394,0.006770966529305697,0.9932519048150822,1.0000000000000002,0.9990681090972774,False,3.0,6.0,9.0,REJECTED
WeibullMin,weibull_min,"shape_1=1.72975, loc=2037.99, scale=15791.6",0.030390679783121266,0.030390679783121266,0.006403358376706344,0.9936170994330239,1.0000000000000002,0.9999664166827908,False,6.0,4.0,10.0,REJECTED
GumbelR,gumbel_r,"loc=12290.8, scale=6474.68",0.030273381102306596,0.030273381102306596,0.0066405826630378546,0.9933814172815945,1.0000000000000002,0.9989758854795058,False,5.0,5.0,10.0,REJECTED
Logistic,logistic,"loc=15306.4, scale=4666.78",0.06258210437877737,0.06258210437877737,0.013157253868326942,0.9869289244257445,1.0000000000000002,0.9684338289893774,False,7.0,7.0,14.0,REJECTED
Normal,norm,"loc=16103.6, scale=8440.63",0.08899247358944967,0.08899247358944967,0.01560514843741855,0.9845159809920275,1.0000000000000002,0.9765964237549268,False,8.0,8.0,16.0,REJECTED
GumbelL,gumbel_l,"loc=20654.3, scale=10727.3",0.16769324690667395,0.16769324690667395,0.036234530184259206,0.9644140827450085,1.0000000000000002,0.8720546412362844,False,9.0,9.0,18.0,REJECTED
Exponential,expon,"loc=2201.69, scale=13901.9",0.19589041014646066,0.19589041014646066,0.059342347237567296,0.9423840913359247,1.0000000000000002,0.9878986089067637,False,10.0,10.0,20.0,REJECTED
Triangular,triang,"shape_1=0.0841075, loc=1559.5, scale=58317.7",0.2585312387706755,0.2585312387706755,0.07633673156526112,0.9265041708265269,1.0000000000000002,0.9999999920531225,False,11.0,11.0,22.0,REJECTED
Uniform,uniform,"loc=2201.69, scale=57569.6",0.45847562489068044,0.45847562489068044,0.23476865861528476,0.7907537625406516,1.0000000000000002,1.00040020010005,False,12.0,12.0,24.0,REJECTED
WeibullMax,weibull_max,"shape_1=0.0818657, loc=59771.2, scale=1.74632",0.8739226712931983,0.8739226712931983,1.6868967797956382,0.18509301808694548,1.0000000000000002,0.41749727132997566,False,13.0,13.0,26.0,REJECTED
