distribution,parameters,ks,bhattacharyya,selection
WeibullMin,"shape_1=1.25514, loc=24213.4, scale=44183.4",0.04672885943849453,0.007815286419069558,BEST
Beta,"shape_1=1.65506, shape_2=1.68325e+13, loc=22842.5, scale=4.3056e+17",0.04089173484805686,0.0079190166131136,CANDIDATE
Lognormal,"shape_1=0.563857, loc=9968.16, scale=47524.7",0.02608069499517862,0.009648037670009733,REJECTED
Gamma,"shape_1=1.54821, loc=23299.4, scale=27238",0.04699154942101558,0.008605809762558321,REJECTED
GumbelR,"loc=51608.7, scale=22651.5",0.04015489293828389,0.01027154432681058,REJECTED
Pearson3,"shape_1=1.60737, loc=65469.5, scale=33891.4",0.04699156578045777,0.008605810555024622,REJECTED
Logistic,"loc=61664.2, scale=16947.4",0.10308455655227104,0.019347106627249998,REJECTED
Exponential,"loc=25000, scale=40469.5",0.11505762096196909,0.020675859289976915,REJECTED
Normal,"loc=65469.5, scale=32168.6",0.10418802002321237,0.026066766494956935,REJECTED
GumbelL,"loc=83318.1, scale=46150.6",0.24619457207753706,0.059061337991384376,REJECTED
Triangular,"shape_1=2.33282e-10, loc=25000, scale=242861",0.3690740863608492,0.13269659409141416,REJECTED
Uniform,"loc=25000, scale=242012",0.5652740380686299,0.3316436640203101,REJECTED
WeibullMax,"shape_1=0.0689451, loc=267012, scale=1.75217",0.8723111350856074,1.828578335228045,REJECTED
