distribution,scipy_distribution,parameters,ks,ks_scipy,bhattacharyya,bhattacharyya_coefficient,h_integral,f_integral,candidate,rank_ks,rank_bhattacharyya,rank_total,selection
WeibullMin,weibull_min,"shape_1=1.25514, loc=24213.4, scale=44183.4",0.04672885943849453,0.04672885943849453,0.007815286419069558,0.992215173529111,1.0,0.9999596106856309,False,4.0,1.0,5.0,BEST
Beta,beta,"shape_1=1.65506, shape_2=1.68325e+13, loc=22842.5, scale=4.3056e+17",0.04089173484805686,0.04089173484805686,0.0079190166131136,0.9921122561945372,1.0,0.9997747434513716,True,3.0,2.0,5.0,CANDIDATE
Lognormal,lognorm,"shape_1=0.563857, loc=9968.16, scale=47524.7",0.02608069499517862,0.02608069499517862,0.009648037670009733,0.990398355325096,1.0,0.9989479470215459,False,1.0,5.0,6.0,REJECTED
Gamma,gamma,"shape_1=1.54821, loc=23299.4, scale=27238",0.04699154942101558,0.04699154942101558,0.008605809762558321,0.9914311142220966,1.0,0.9996235138804836,False,5.0,3.0,8.0,REJECTED
GumbelR,gumbel_r,"loc=51608.7, scale=22651.5",0.04015489293828389,0.04015489293828389,0.01027154432681058,0.9897810278315664,1.0,0.9959620139132814,False,2.0,6.0,8.0,REJECTED
Pearson3,pearson3,"shape_1=1.60737, loc=65469.5, scale=33891.4",0.04699156578045777,0.04699156578045777,0.008605810555024622,0.9914311134364209,1.0,0.9996235151863855,False,6.0,4.0,10.0,REJECTED
Logistic,logistic,"loc=61664.2, scale=16947.4",0.10308455655227104,0.10308455655227104,0.019347106627249998,0.9808388474845341,1.0,0.9467160148932845,False,7.0,7.0,14.0,REJECTED
Exponential,expon,"loc=25000, scale=40469.5",0.11505762096196909,0.11505762096196909,0.020675859289976915,0.9795364207473591,1.0,0.9993218024181598,False,9.0,8.0,17.0,REJECTED
Normal,norm,"loc=65469.5, scale=32168.6",0.10418802002321237,0.10418802002321237,0.026066766494956935,0.9742700388415326,1.0,0.9488918194352961,False,8.0,9.0,17.0,REJECTED
GumbelL,gumbel_l,"loc=83318.1, scale=46150.6",0.24619457207753706,0.24619457207753706,0.059061337991384376,0.942648947190775,1.0,0.8045782330436052,False,10.0,10.0,20.0,REJECTED
Triangular,triang,"shape_1=2.33282e-10, loc=25000, scale=242861",0.3690740863608492,0.3690740863608492,0.13269659409141416,0.8757307536900863,1.0,1.000398839726289,False,11.0,11.0,22.0,REJECTED
Uniform,uniform,"loc=25000, scale=242012",0.5652740380686299,0.5652740380686299,0.3316436640203101,0.7177430349595537,1.0,1.00040020010005,False,12.0,12.0,24.0,REJECTED
WeibullMax,weibull_max,"shape_1=0.0689451, loc=267012, scale=1.75217",0.8723111350856074,0.8723111350856074,1.828578335228045,0.1606417842786661,1.0,0.3488345650378092,False,13.0,13.0,26.0,REJECTED
