distribution,parameters,ks,bhattacharyya,selection
Pearson3,"shape_1=1.11436, loc=16103.6, scale=8510.84",0.020919960693375428,0.006210707775770759,BEST
Beta,"shape_1=2.79724, shape_2=34.8738, loc=1228.75, scale=200320",0.02279434014598164,0.006051316939575805,REJECTED
Gamma,"shape_1=3.22114, loc=828.683, scale=4742.07",0.02091997093282394,0.006210708412561978,CANDIDATE
Lognormal,"shape_1=0.408496, loc=-4211.07, scale=18704.6",0.021155721519929394,0.006770966529305697,REJECTED
WeibullMin,"shape_1=1.72975, loc=2037.99, scale=15791.6",0.030390679783121266,0.006403358376706344,REJECTED
GumbelR,"loc=12290.8, scale=6474.68",0.030273381102306596,0.0066405826630378546,REJECTED
Logistic,"loc=15306.4, scale=4666.78",0.06258210437877737,0.013157253868326942,REJECTED
Normal,"loc=16103.6, scale=8440.63",0.08899247358944967,0.01560514843741855,REJECTED
GumbelL,"loc=20654.3, scale=10727.3",0.16769324690667395,0.036234530184259206,REJECTED
Exponential,"loc=2201.69, scale=13901.9",0.19589041014646066,0.059342347237567296,REJECTED
Triangular,"shape_1=0.0841075, loc=1559.5, scale=58317.7",0.2585312387706755,0.07633673156526112,REJECTED
Uniform,"loc=2201.69, scale=57569.6",0.45847562489068044,0.23476865861528476,REJECTED
WeibullMax,"shape_1=0.0818657, loc=59771.2, scale=1.74632",0.8739226712931983,1.6868967797956382,REJECTED
